pcak,k,mode,opa,q,nms,nsel,prec,rec,nvis
12,6,crease,0.50,0.75,0.9,4803,0.4956,0.5397,2664
12,6,crease,0.50,0.75,0.7,4162,0.4916,0.5241,2318
12,6,crease,0.60,0.25,off,12285,0.5164,0.7520,6717
12,6,crease,0.60,0.25,0.9,10856,0.5111,0.7395,5935
12,6,crease,0.60,0.25,0.7,8612,0.4917,0.7078,4689
12,6,crease,0.60,0.40,off,9828,0.5152,0.7043,5397
12,6,crease,0.60,0.40,0.9,8861,0.5108,0.6934,4866
12,6,crease,0.60,0.40,0.7,7180,0.4949,0.6631,3938
12,6,crease,0.60,0.55,off,7371,0.5197,0.6378,4059
12,6,crease,0.60,0.55,0.9,6762,0.5172,0.6269,3718
12,6,crease,0.60,0.55,0.7,5658,0.5045,0.6022,3104
12,6,crease,0.60,0.65,off,5733,0.5205,0.5772,3168
12,6,crease,0.60,0.65,0.9,5342,0.5170,0.5698,2955
12,6,crease,0.60,0.65,0.7,4577,0.5070,0.5504,2530
12,6,crease,0.60,0.75,off,4095,0.5170,0.5017,2277
12,6,crease,0.60,0.75,0.9,3886,0.5153,0.4969,2162
12,6,crease,0.60,0.75,0.7,3445,0.5082,0.4849,1918
12,6,crease,0.70,0.25,off,9835,0.5354,0.7098,5371
12,6,crease,0.70,0.25,0.9,8828,0.5306,0.6978,4810
12,6,crease,0.70,0.25,0.7,7194,0.5122,0.6723,3896
12,6,crease,0.70,0.40,off,7868,0.5336,0.6547,4319
12,6,crease,0.70,0.40,0.9,7197,0.5292,0.6450,3942
12,6,crease,0.70,0.40,0.7,5989,0.5128,0.6227,3273
12,6,crease,0.70,0.55,off,5901,0.5348,0.5857,3252
12,6,crease,0.70,0.55,0.9,5484,0.5318,0.5767,3013
12,6,crease,0.70,0.55,0.7,4677,0.5198,0.5563,2565
12,6,crease,0.70,0.65,off,4590,0.5338,0.5233,2520
12,6,crease,0.70,0.65,0.9,4314,0.5312,0.5168,2367
12,6,crease,0.70,0.65,0.7,3771,0.5223,0.5014,2070
12,6,crease,0.70,0.75,off,3279,0.5364,0.4540,1820
12,6,crease,0.70,0.75,0.9,3130,0.5339,0.4484,1735
12,6,crease,0.70,0.75,0.7,2799,0.5285,0.4388,1552
12,6,crease,0.80,0.25,off,7674,0.5503,0.6431,4184
12,6,crease,0.80,0.25,0.9,6957,0.5461,0.6339,3783
12,6,crease,0.80,0.25,0.7,5825,0.5297,0.6118,3147
12,6,crease,0.80,0.40,off,6140,0.5460,0.5877,3364
12,6,crease,0.80,0.40,0.9,5669,0.5432,0.5809,3099
12,6,crease,0.80,0.40,0.7,4815,0.5290,0.5606,2628
12,6,crease,0.80,0.55,off,4605,0.5457,0.5231,2553
12,6,crease,0.80,0.55,0.9,4312,0.5434,0.5168,2384
12,6,crease,0.80,0.55,0.7,3748,0.5336,0.4978,2070
12,6,crease,0.80,0.65,off,3582,0.5430,0.4640,1983
12,6,crease,0.80,0.65,0.9,3395,0.5415,0.4598,1881
12,6,crease,0.80,0.65,0.7,3025,0.5334,0.4433,1677
12,6,crease,0.80,0.75,off,2558,0.5389,0.3977,1431
12,6,crease,0.80,0.75,0.9,2451,0.5362,0.3930,1371
12,6,crease,0.80,0.75,0.7,2229,0.5308,0.3830,1245
12,6,l1,0.10,0.25,off,42663,0.4192,0.9471,23810
12,6,l1,0.10,0.25,0.9,31738,0.4198,0.9323,17711
12,6,l1,0.10,0.25,0.7,18953,0.4130,0.8876,10559
12,6,l1,0.10,0.40,off,34130,0.4430,0.8991,19192
12,6,l1,0.10,0.40,0.9,26275,0.4431,0.8849,14746
12,6,l1,0.10,0.40,0.7,16313,0.4377,0.8398,9124
12,6,l1,0.10,0.55,off,25598,0.4485,0.8368,14488
12,6,l1,0.10,0.55,0.9,20402,0.4490,0.8175,11522
12,6,l1,0.10,0.55,0.7,13409,0.4432,0.7756,7552
12,6,l1,0.10,0.65,off,19910,0.4481,0.7799,11303
12,6,l1,0.10,0.65,0.9,16330,0.4511,0.7590,9261
12,6,l1,0.10,0.65,0.7,11234,0.4457,0.7252,6355
12,6,l1,0.10,0.75,off,14221,0.4489,0.7225,8046
12,6,l1,0.10,0.75,0.9,12079,0.4484,0.7007,6819
12,6,l1,0.10,0.75,0.7,8905,0.4423,0.6709,5016
12,6,l1,0.30,0.25,off,23979,0.4616,0.8848,13187
12,6,l1,0.30,0.25,0.9,19775,0.4567,0.8696,10884
12,6,l1,0.30,0.25,0.7,13929,0.4436,0.8359,7681
12,6,l1,0.30,0.40,off,19184,0.4710,0.8364,10616
12,6,l1,0.30,0.40,0.9,16223,0.4680,0.8230,8959
12,6,l1,0.30,0.40,0.7,11724,0.4578,0.7868,6475
12,6,l1,0.30,0.55,off,14388,0.4732,0.7669,7991
12,6,l1,0.30,0.55,0.9,12449,0.4701,0.7510,6917
12,6,l1,0.30,0.55,0.7,9366,0.4640,0.7179,5213
12,6,l1,0.30,0.65,off,11191,0.4706,0.7038,6242
12,6,l1,0.30,0.65,0.9,9882,0.4687,0.6899,5517
12,6,l1,0.30,0.65,0.7,7710,0.4629,0.6643,4307
12,6,l1,0.30,0.75,off,7993,0.4726,0.6343,4440
12,6,l1,0.30,0.75,0.9,7245,0.4684,0.6193,4025
12,6,l1,0.30,0.75,0.7,5924,0.4655,0.5959,3295
12,6,l1,0.50,0.25,off,15342,0.4983,0.8006,8412
12,6,l1,0.50,0.25,0.9,13311,0.4924,0.7876,7297
12,6,l1,0.50,0.25,0.7,10157,0.4740,0.7555,5576
12,6,l1,0.50,0.40,off,12273,0.4971,0.7404,6750
12,6,l1,0.50,0.40,0.9,10844,0.4946,0.7279,5965
12,6,l1,0.50,0.40,0.7,8465,0.4783,0.6982,4666
12,6,l1,0.50,0.55,off,9205,0.4988,0.6715,5095
12,6,l1,0.50,0.55,0.9,8290,0.4947,0.6568,4590
12,6,l1,0.50,0.55,0.7,6694,0.4822,0.6297,3725
12,6,l1,0.50,0.65,off,7160,0.4966,0.6093,3976
12,6,l1,0.50,0.65,0.9,6539,0.4927,0.5947,3626
12,6,l1,0.50,0.65,0.7,5438,0.4818,0.5723,3023
12,6,l1,0.50,0.75,off,5114,0.4972,0.5352,2839
12,6,l1,0.50,0.75,0.9,4775,0.4946,0.5262,2651
12,6,l1,0.50,0.75,0.7,4098,0.4876,0.5110,2282
12,6,l1,0.60,0.25,off,12285,0.5183,0.7419,6720
12,6,l1,0.60,0.25,0.9,10827,0.5132,0.7309,5920
12,6,l1,0.60,0.25,0.7,8551,0.4934,0.6995,4672
12,6,l1,0.60,0.40,off,9828,0.5162,0.6916,5412
12,6,l1,0.60,0.40,0.9,8805,0.5128,0.6804,4842
12,6,l1,0.60,0.40,0.7,7072,0.4954,0.6509,3895
12,6,l1,0.60,0.55,off,7371,0.5137,0.6161,4079
12,6,l1,0.60,0.55,0.9,6728,0.5102,0.6062,3721
12,6,l1,0.60,0.55,0.7,5577,0.4956,0.5833,3089
12,6,l1,0.60,0.65,off,5733,0.5096,0.5613,3185
12,6,l1,0.60,0.65,0.9,5299,0.5051,0.5516,2940
12,6,l1,0.60,0.65,0.7,4513,0.4913,0.5335,2506
12,6,l1,0.60,0.75,off,4095,0.5119,0.4876,2283
12,6,l1,0.60,0.75,0.9,3867,0.5087,0.4823,2155
12,6,l1,0.60,0.75,0.7,3388,0.5008,0.4704,1892
12,6,l1,0.70,0.25,off,9835,0.5335,0.6975,5366
12,6,l1,0.70,0.25,0.9,8805,0.5294,0.6876,4791
12,6,l1,0.70,0.25,0.7,7123,0.5085,0.6615,3870
12,6,l1,0.70,0.40,off,7868,0.5291,0.6443,4334
12,6,l1,0.70,0.40,0.9,7144,0.5261,0.6339,3925
12,6,l1,0.70,0.40,0.7,5887,0.5083,0.6087,3236
12,6,l1,0.70,0.55,off,5901,0.5282,0.5650,3247
12,6,l1,0.70,0.55,0.9,5441,0.5254,0.5564,2989
12,6,l1,0.70,0.55,0.7,4603,0.5094,0.5373,2531
12,6,l1,0.70,0.65,off,4590,0.5253,0.5132,2533
12,6,l1,0.70,0.65,0.9,4280,0.5215,0.5044,2359
12,6,l1,0.70,0.65,0.7,3715,0.5092,0.4901,2049
12,6,l1,0.70,0.75,off,3279,0.5263,0.4417,1814
12,6,l1,0.70,0.75,0.9,3122,0.5236,0.4371,1727
12,6,l1,0.70,0.75,0.7,2769,0.5155,0.4275,1538
12,6,l1,0.80,0.25,off,7674,0.5491,0.6361,4186
12,6,l1,0.80,0.25,0.9,6951,0.5462,0.6274,3785
12,6,l1,0.80,0.25,0.7,5746,0.5271,0.6061,3123
12,6,l1,0.80,0.40,off,6140,0.5442,0.5779,3383
12,6,l1,0.80,0.40,0.9,5640,0.5423,0.5704,3101
12,6,l1,0.80,0.40,0.7,4745,0.5255,0.5500,2607
12,6,l1,0.80,0.55,off,4605,0.5389,0.4995,2551
12,6,l1,0.80,0.55,0.9,4288,0.5358,0.4941,2375
12,6,l1,0.80,0.55,0.7,3700,0.5199,0.4786,2050
12,6,l1,0.80,0.65,off,3582,0.5344,0.4490,1975
12,6,l1,0.80,0.65,0.9,3374,0.5299,0.4434,1864
12,6,l1,0.80,0.65,0.7,2985,0.5186,0.4310,1649
12,6,l1,0.80,0.75,off,2558,0.5362,0.3853,1425
12,6,l1,0.80,0.75,0.9,2443,0.5325,0.3807,1361
12,6,l1,0.80,0.75,0.7,2202,0.5248,0.3726,1231
12,8,crease,0.10,0.25,off,42663,0.4154,0.9474,23744
12,8,crease,0.10,0.25,0.9,29261,0.4124,0.9221,16290
12,8,crease,0.10,0.25,0.7,15830,0.4037,0.8496,8753
12,8,crease,0.10,0.40,off,34130,0.4369,0.9108,19134
12,8,crease,0.10,0.40,0.9,24673,0.4335,0.8889,13815
12,8,crease,0.10,0.40,0.7,14112,0.4249,0.8244,7866
12,8,crease,0.10,0.55,off,25598,0.4441,0.8547,14473
12,8,crease,0.10,0.55,0.9,19579,0.4413,0.8307,11076
12,8,crease,0.10,0.55,0.7,12148,0.4381,0.7752,6842
12,8,crease,0.10,0.65,off,19910,0.4443,0.8053,11260
12,8,crease,0.10,0.65,0.9,15898,0.4438,0.7874,8991
12,8,crease,0.10,0.65,0.7,10508,0.4412,0.7344,5939
12,8,crease,0.10,0.75,off,14221,0.4445,0.7421,8070
12,8,crease,0.10,0.75,0.9,11894,0.4459,0.7278,6752
12,8,crease,0.10,0.75,0.7,8490,0.4459,0.6851,4822
12,8,crease,0.30,0.25,off,23979,0.4592,0.8882,13137
12,8,crease,0.30,0.25,0.9,18736,0.4516,0.8658,10304
12,8,crease,0.30,0.25,0.7,12196,0.4373,0.8125,6740
12,8,crease,0.30,0.40,off,19184,0.4690,0.8456,10581
12,8,crease,0.30,0.40,0.9,15549,0.4623,0.8252,8592
12,8,crease,0.30,0.40,0.7,10624,0.4513,0.7781,5887
12,8,crease,0.30,0.55,off,14388,0.4722,0.7859,7959
12,8,crease,0.30,0.55,0.9,12109,0.4688,0.7666,6728
12,8,crease,0.30,0.55,0.7,8826,0.4617,0.7228,4930
12,8,crease,0.30,0.65,off,11191,0.4718,0.7252,6202
12,8,crease,0.30,0.65,0.9,9687,0.4703,0.7107,5386
12,8,crease,0.30,0.65,0.7,7376,0.4643,0.6718,4115
12,8,crease,0.30,0.75,off,7993,0.4690,0.6581,4456
12,8,crease,0.30,0.75,0.9,7150,0.4690,0.6430,4001
12,8,crease,0.30,0.75,0.7,5728,0.4665,0.6141,3216
12,8,crease,0.50,0.25,off,15342,0.4943,0.8074,8368
12,8,crease,0.50,0.25,0.9,12838,0.4856,0.7885,7015
12,8,crease,0.50,0.25,0.7,9257,0.4627,0.7407,5093
12,8,crease,0.50,0.40,off,12273,0.4996,0.7593,6743
12,8,crease,0.50,0.40,0.9,10550,0.4930,0.7396,5816
12,8,crease,0.50,0.40,0.7,7933,0.4734,0.6990,4385
12,8,crease,0.50,0.55,off,9205,0.4984,0.6862,5062
12,8,crease,0.50,0.55,0.9,8116,0.4947,0.6708,4478
12,8,crease,0.50,0.55,0.7,6407,0.4810,0.6372,3541
12,8,crease,0.50,0.65,off,7160,0.4958,0.6291,3958
12,8,crease,0.50,0.65,0.9,6463,0.4934,0.6151,3574
12,8,crease,0.50,0.65,0.7,5264,0.4815,0.5848,2915
12,8,crease,0.50,0.75,off,5114,0.4928,0.5488,2841
12,8,crease,0.50,0.75,0.9,4717,0.4916,0.5372,2622
12,8,crease,0.50,0.75,0.7,3988,0.4857,0.5181,2222
12,8,crease,0.60,0.25,off,12285,0.5146,0.7572,6681
12,8,crease,0.60,0.25,0.9,10529,0.5072,0.7397,5732
12,8,crease,0.60,0.25,0.7,7872,0.4800,0.6964,4309
12,8,crease,0.60,0.40,off,9828,0.5183,0.7062,5379
12,8,crease,0.60,0.40,0.9,8583,0.5118,0.6887,4709
12,8,crease,0.60,0.40,0.7,6659,0.4909,0.6512,3664
12,8,crease,0.60,0.55,off,7371,0.5130,0.6296,4046
12,8,crease,0.60,0.55,0.9,6600,0.5091,0.6164,3625
12,8,crease,0.60,0.55,0.7,5362,0.4927,0.5862,2954
12,8,crease,0.60,0.65,off,5733,0.5101,0.5772,3161
12,8,crease,0.60,0.65,0.9,5268,0.5070,0.5670,2908
12,8,crease,0.60,0.65,0.7,4405,0.4933,0.5416,2437
12,8,crease,0.60,0.75,off,4095,0.5054,0.4962,2274
12,8,crease,0.60,0.75,0.9,3823,0.5052,0.4876,2120
12,8,crease,0.60,0.75,0.7,3311,0.4976,0.4687,1835
12,8,crease,0.70,0.25,off,9835,0.5311,0.7073,5329
12,8,crease,0.70,0.25,0.9,8577,0.5248,0.6904,4653
12,8,crease,0.70,0.25,0.7,6601,0.5024,0.6516,3605
12,8,crease,0.70,0.40,off,7868,0.5334,0.6578,4295
12,8,crease,0.70,0.40,0.9,6981,0.5283,0.6414,3816
12,8,crease,0.70,0.40,0.7,5576,0.5104,0.6084,3059
12,8,crease,0.70,0.55,off,5901,0.5291,0.5687,3237
12,8,crease,0.70,0.55,0.9,5355,0.5262,0.5574,2936
12,8,crease,0.70,0.55,0.7,4450,0.5091,0.5296,2443
12,8,crease,0.70,0.65,off,4590,0.5249,0.5242,2526
12,8,crease,0.70,0.65,0.9,4252,0.5239,0.5160,2343
12,8,crease,0.70,0.65,0.7,3621,0.5110,0.4931,1997
12,8,crease,0.70,0.75,off,3279,0.5190,0.4528,1810
12,8,crease,0.70,0.75,0.9,3083,0.5199,0.4445,1701
12,8,crease,0.70,0.75,0.7,2702,0.5116,0.4270,1486
12,8,crease,0.80,0.25,off,7674,0.5486,0.6387,4158
12,8,crease,0.80,0.25,0.9,6765,0.5429,0.6256,3673
12,8,crease,0.80,0.25,0.7,5378,0.5204,0.5911,2921
12,8,crease,0.80,0.40,off,6140,0.5457,0.5873,3350
12,8,crease,0.80,0.40,0.9,5500,0.5420,0.5748,3009
12,8,crease,0.80,0.40,0.7,4527,0.5267,0.5442,2477
12,8,crease,0.80,0.55,off,4605,0.5406,0.5071,2534
12,8,crease,0.80,0.55,0.9,4231,0.5396,0.5003,2326
12,8,crease,0.80,0.55,0.7,3603,0.5244,0.4760,1983
12,8,crease,0.80,0.65,off,3582,0.5328,0.4609,1974
12,8,crease,0.80,0.65,0.9,3343,0.5323,0.4542,1845
12,8,crease,0.80,0.65,0.7,2895,0.5202,0.4340,1596
12,8,crease,0.80,0.75,off,2558,0.5261,0.3914,1414
12,8,crease,0.80,0.75,0.9,2418,0.5284,0.3857,1335
12,8,crease,0.80,0.75,0.7,2156,0.5224,0.3706,1185
12,8,l1,0.10,0.25,off,42663,0.4219,0.9454,23789
12,8,l1,0.10,0.25,0.9,29262,0.4201,0.9197,16271
12,8,l1,0.10,0.25,0.7,15512,0.4146,0.8458,8594
12,8,l1,0.10,0.40,off,34130,0.4437,0.8923,19273
12,8,l1,0.10,0.40,0.9,24534,0.4415,0.8705,13782
12,8,l1,0.10,0.40,0.7,13629,0.4368,0.8058,7629
12,8,l1,0.10,0.55,off,25598,0.4517,0.8328,14571
12,8,l1,0.10,0.55,0.9,19087,0.4516,0.8103,10822
12,8,l1,0.10,0.55,0.7,11340,0.4487,0.7488,6418
12,8,l1,0.10,0.65,off,19910,0.4522,0.7854,11334
12,8,l1,0.10,0.65,0.9,15389,0.4515,0.7639,8722
12,8,l1,0.10,0.65,0.7,9722,0.4502,0.7057,5523
12,8,l1,0.10,0.75,off,14221,0.4469,0.7147,8109
12,8,l1,0.10,0.75,0.9,11596,0.4455,0.6972,6589
12,8,l1,0.10,0.75,0.7,7948,0.4446,0.6509,4518
12,8,l1,0.30,0.25,off,23979,0.4642,0.8849,13193
12,8,l1,0.30,0.25,0.9,18775,0.4568,0.8647,10342
12,8,l1,0.30,0.25,0.7,12128,0.4425,0.8149,6727
12,8,l1,0.30,0.40,off,19184,0.4751,0.8252,10672
12,8,l1,0.30,0.40,0.9,15452,0.4707,0.8052,8598
12,8,l1,0.30,0.40,0.7,10305,0.4583,0.7518,5767
12,8,l1,0.30,0.55,off,14388,0.4773,0.7580,8051
12,8,l1,0.30,0.55,0.9,11917,0.4741,0.7393,6676
12,8,l1,0.30,0.55,0.7,8366,0.4640,0.6893,4709
12,8,l1,0.30,0.65,off,11191,0.4723,0.7075,6244
12,8,l1,0.30,0.65,0.9,9509,0.4703,0.6866,5305
12,8,l1,0.30,0.65,0.7,7017,0.4618,0.6437,3943
12,8,l1,0.30,0.75,off,7993,0.4681,0.6305,4461
12,8,l1,0.30,0.75,0.9,7026,0.4662,0.6164,3929
12,8,l1,0.30,0.75,0.7,5524,0.4623,0.5861,3103
12,8,l1,0.50,0.25,off,15342,0.4985,0.7936,8417
12,8,l1,0.50,0.25,0.9,12841,0.4899,0.7757,7043
12,8,l1,0.50,0.25,0.7,9191,0.4668,0.7329,5082
12,8,l1,0.50,0.40,off,12273,0.5026,0.7356,6806
12,8,l1,0.50,0.40,0.9,10450,0.4961,0.7155,5795
12,8,l1,0.50,0.40,0.7,7689,0.4756,0.6731,4296
12,8,l1,0.50,0.55,off,9205,0.4977,0.6614,5107
12,8,l1,0.50,0.55,0.9,8025,0.4950,0.6438,4446
12,8,l1,0.50,0.55,0.7,6128,0.4793,0.6097,3423
12,8,l1,0.50,0.65,off,7160,0.4935,0.6040,3971
12,8,l1,0.50,0.65,0.9,6377,0.4903,0.5887,3538
12,8,l1,0.50,0.65,0.7,5085,0.4779,0.5598,2839
12,8,l1,0.50,0.75,off,5114,0.4923,0.5207,2837
12,8,l1,0.50,0.75,0.9,4665,0.4904,0.5119,2590
12,8,l1,0.50,0.75,0.7,3884,0.4825,0.4907,2166
12,8,l1,0.60,0.25,off,12285,0.5178,0.7436,6732
12,8,l1,0.60,0.25,0.9,10508,0.5089,0.7264,5740
12,8,l1,0.60,0.25,0.7,7809,0.4819,0.6862,4290
12,8,l1,0.60,0.40,off,9828,0.5173,0.6820,5434
12,8,l1,0.60,0.40,0.9,8549,0.5093,0.6640,4719
12,8,l1,0.60,0.40,0.7,6510,0.4867,0.6280,3614
12,8,l1,0.60,0.55,off,7371,0.5114,0.6137,4079
12,8,l1,0.60,0.55,0.9,6549,0.5068,0.5999,3616
12,8,l1,0.60,0.55,0.7,5165,0.4881,0.5707,2880
12,8,l1,0.60,0.65,off,5733,0.5044,0.5471,3185
12,8,l1,0.60,0.65,0.9,5188,0.5004,0.5364,2875
12,8,l1,0.60,0.65,0.7,4261,0.4859,0.5137,2376
12,8,l1,0.60,0.75,off,4095,0.5044,0.4732,2271
12,8,l1,0.60,0.75,0.9,3783,0.5016,0.4655,2094
12,8,l1,0.60,0.75,0.7,3239,0.4920,0.4456,1800
12,8,l1,0.70,0.25,off,9835,0.5333,0.6965,5392
12,8,l1,0.70,0.25,0.9,8568,0.5259,0.6791,4686
12,8,l1,0.70,0.25,0.7,6546,0.5022,0.6428,3592
12,8,l1,0.70,0.40,off,7868,0.5290,0.6283,4335
12,8,l1,0.70,0.40,0.9,6947,0.5225,0.6123,3813
12,8,l1,0.70,0.40,0.7,5437,0.5013,0.5768,2993
12,8,l1,0.70,0.55,off,5901,0.5227,0.5584,3254
12,8,l1,0.70,0.55,0.9,5318,0.5186,0.5459,2924
12,8,l1,0.70,0.55,0.7,4294,0.5018,0.5192,2381
12,8,l1,0.70,0.65,off,4590,0.5134,0.4980,2536
12,8,l1,0.70,0.65,0.9,4199,0.5101,0.4883,2312
12,8,l1,0.70,0.65,0.7,3507,0.4967,0.4668,1948
12,8,l1,0.70,0.75,off,3279,0.5170,0.4336,1811
12,8,l1,0.70,0.75,0.9,3057,0.5135,0.4252,1685
12,8,l1,0.70,0.75,0.7,2654,0.5068,0.4093,1472
12,8,l1,0.80,0.25,off,7674,0.5490,0.6300,4204
12,8,l1,0.80,0.25,0.9,6758,0.5431,0.6169,3695
12,8,l1,0.80,0.25,0.7,5316,0.5212,0.5831,2904
12,8,l1,0.80,0.40,off,6140,0.5447,0.5635,3383
12,8,l1,0.80,0.40,0.9,5506,0.5399,0.5542,3026
12,8,l1,0.80,0.40,0.7,4424,0.5214,0.5254,2436
12,8,l1,0.80,0.55,off,4605,0.5312,0.4972,2541
12,8,l1,0.80,0.55,0.9,4185,0.5275,0.4872,2307
12,8,l1,0.80,0.55,0.7,3469,0.5131,0.4654,1929
12,8,l1,0.80,0.65,off,3582,0.5242,0.4333,1985
12,8,l1,0.80,0.65,0.9,3301,0.5205,0.4247,1828
12,8,l1,0.80,0.65,0.7,2812,0.5083,0.4059,1567
12,8,l1,0.80,0.75,off,2558,0.5298,0.3745,1416
12,8,l1,0.80,0.75,0.9,2395,0.5259,0.3665,1325
12,8,l1,0.80,0.75,0.7,2117,0.5184,0.3528,1175
16,4,crease,0.10,0.25,off,42663,0.4131,0.9473,23823
16,4,crease,0.10,0.25,0.9,34465,0.4136,0.9370,19251
16,4,crease,0.10,0.25,0.7,23868,0.4086,0.9075,13285
16,4,crease,0.10,0.40,off,34130,0.4392,0.9110,19224
16,4,crease,0.10,0.40,0.9,28259,0.4395,0.9000,15894
16,4,crease,0.10,0.40,0.7,20084,0.4351,0.8717,11252
16,4,crease,0.10,0.55,off,25598,0.4507,0.8451,14514
16,4,crease,0.10,0.55,0.9,21795,0.4517,0.8361,12325
16,4,crease,0.10,0.55,0.7,16157,0.4486,0.8082,9110
16,4,crease,0.10,0.65,off,19910,0.4459,0.7833,11322
16,4,crease,0.10,0.65,0.9,17330,0.4482,0.7743,9822
16,4,crease,0.10,0.65,0.7,13278,0.4461,0.7450,7514
16,4,crease,0.10,0.75,off,14221,0.4429,0.7193,8093
16,4,crease,0.10,0.75,0.9,12688,0.4457,0.7091,7202
16,4,crease,0.10,0.75,0.7,10142,0.4461,0.6821,5752
16,4,crease,0.30,0.25,off,23979,0.4579,0.8895,13175
16,4,crease,0.30,0.25,0.9,20896,0.4535,0.8770,11485
16,4,crease,0.30,0.25,0.7,16426,0.4459,0.8558,9056
16,4,crease,0.30,0.40,off,19184,0.4699,0.8346,10614
16,4,crease,0.30,0.40,0.9,16954,0.4674,0.8223,9379
16,4,crease,0.30,0.40,0.7,13583,0.4619,0.8034,7528
16,4,crease,0.30,0.55,off,14388,0.4714,0.7592,7996
16,4,crease,0.30,0.55,0.9,12987,0.4705,0.7491,7203
16,4,crease,0.30,0.55,0.7,10720,0.4659,0.7274,5967
16,4,crease,0.30,0.65,off,11191,0.4710,0.7069,6230
16,4,crease,0.30,0.65,0.9,10253,0.4717,0.7001,5701
16,4,crease,0.30,0.65,0.7,8672,0.4662,0.6780,4833
16,4,crease,0.30,0.75,off,7993,0.4661,0.6263,4433
16,4,crease,0.30,0.75,0.9,7460,0.4682,0.6201,4132
16,4,crease,0.30,0.75,0.7,6459,0.4654,0.6012,3590
16,4,crease,0.50,0.25,off,15342,0.4959,0.8041,8387
16,4,crease,0.50,0.25,0.9,13845,0.4908,0.7930,7565
16,4,crease,0.50,0.25,0.7,11552,0.4827,0.7729,6309
16,4,crease,0.50,0.40,off,12273,0.5010,0.7459,6739
16,4,crease,0.50,0.40,0.9,11192,0.4980,0.7350,6135
16,4,crease,0.50,0.40,0.7,9502,0.4913,0.7156,5204
16,4,crease,0.50,0.55,off,9205,0.4998,0.6717,5084
16,4,crease,0.50,0.55,0.9,8545,0.4985,0.6643,4708
16,4,crease,0.50,0.55,0.7,7436,0.4926,0.6451,4102
16,4,crease,0.50,0.65,off,7160,0.4959,0.6119,3961
16,4,crease,0.50,0.65,0.9,6715,0.4954,0.6064,3707
16,4,crease,0.50,0.65,0.7,5951,0.4905,0.5886,3291
16,4,crease,0.50,0.75,off,5114,0.4923,0.5207,2819
16,4,crease,0.50,0.75,0.9,4851,0.4928,0.5161,2669
16,4,crease,0.50,0.75,0.7,4392,0.4906,0.5052,2422
16,4,crease,0.60,0.25,off,12285,0.5151,0.7518,6705
16,4,crease,0.60,0.25,0.9,11220,0.5100,0.7406,6119
16,4,crease,0.60,0.25,0.7,9596,0.5040,0.7243,5235
16,4,crease,0.60,0.40,off,9828,0.5171,0.6945,5395
16,4,crease,0.60,0.40,0.9,9052,0.5140,0.6847,4957
16,4,crease,0.60,0.40,0.7,7850,0.5087,0.6703,4295
16,4,crease,0.60,0.55,off,7371,0.5133,0.6175,4080
16,4,crease,0.60,0.55,0.9,6900,0.5112,0.6096,3811
16,4,crease,0.60,0.55,0.7,6110,0.5057,0.5948,3381
16,4,crease,0.60,0.65,off,5733,0.5112,0.5614,3178
16,4,crease,0.60,0.65,0.9,5416,0.5104,0.5562,2994
16,4,crease,0.60,0.65,0.7,4875,0.5085,0.5454,2700
16,4,crease,0.60,0.75,off,4095,0.5085,0.4716,2258
16,4,crease,0.60,0.75,0.9,3907,0.5090,0.4661,2150
16,4,crease,0.60,0.75,0.7,3586,0.5076,0.4583,1974
16,4,crease,0.70,0.25,off,9835,0.5347,0.7040,5363
16,4,crease,0.70,0.25,0.9,9064,0.5320,0.6943,4930
16,4,crease,0.70,0.25,0.7,7929,0.5256,0.6789,4301
16,4,crease,0.70,0.40,off,7868,0.5328,0.6434,4312
16,4,crease,0.70,0.40,0.9,7316,0.5323,0.6348,3995
16,4,crease,0.70,0.40,0.7,6479,0.5275,0.6215,3524
16,4,crease,0.70,0.55,off,5901,0.5283,0.5720,3252
16,4,crease,0.70,0.55,0.9,5578,0.5281,0.5649,3065
16,4,crease,0.70,0.55,0.7,5033,0.5238,0.5498,2765
16,4,crease,0.70,0.65,off,4590,0.5252,0.5104,2524
16,4,crease,0.70,0.65,0.9,4366,0.5271,0.5051,2394
16,4,crease,0.70,0.65,0.7,3998,0.5255,0.4940,2192
16,4,crease,0.70,0.75,off,3279,0.5275,0.4294,1802
16,4,crease,0.70,0.75,0.9,3147,0.5286,0.4246,1726
16,4,crease,0.70,0.75,0.7,2929,0.5268,0.4170,1600
16,4,crease,0.80,0.25,off,7674,0.5477,0.6294,4185
16,4,crease,0.80,0.25,0.9,7133,0.5441,0.6217,3879
16,4,crease,0.80,0.25,0.7,6329,0.5385,0.6092,3426
16,4,crease,0.80,0.40,off,6140,0.5446,0.5665,3361
16,4,crease,0.80,0.40,0.9,5762,0.5435,0.5607,3145
16,4,crease,0.80,0.40,0.7,5164,0.5396,0.5485,2805
16,4,crease,0.80,0.55,off,4605,0.5417,0.5074,2538
16,4,crease,0.80,0.55,0.9,4387,0.5413,0.5036,2411
16,4,crease,0.80,0.55,0.7,3993,0.5377,0.4913,2188
16,4,crease,0.80,0.65,off,3582,0.5325,0.4384,1964
16,4,crease,0.80,0.65,0.9,3432,0.5334,0.4348,1874
16,4,crease,0.80,0.65,0.7,3168,0.5331,0.4268,1729
16,4,crease,0.80,0.75,off,2558,0.5384,0.3651,1400
16,4,crease,0.80,0.75,0.9,2475,0.5398,0.3625,1348
