pcak,k,mode,opa,q,nms,nsel,prec,rec,nvis
12,4,l1,0.10,0.25,0.7,23812,0.4072,0.9098,13273
12,4,l1,0.10,0.40,off,34130,0.4366,0.9100,19157
12,4,l1,0.10,0.40,0.9,28517,0.4368,0.9000,15976
12,4,l1,0.10,0.40,0.7,20023,0.4321,0.8740,11215
12,4,l1,0.10,0.55,off,25598,0.4447,0.8479,14438
12,4,l1,0.10,0.55,0.9,21936,0.4454,0.8373,12338
12,4,l1,0.10,0.55,0.7,16046,0.4437,0.8109,9017
12,4,l1,0.10,0.65,off,19910,0.4448,0.7921,11279
12,4,l1,0.10,0.65,0.9,17380,0.4454,0.7785,9825
12,4,l1,0.10,0.65,0.7,13105,0.4428,0.7476,7397
12,4,l1,0.10,0.75,off,14221,0.4450,0.7346,8054
12,4,l1,0.10,0.75,0.9,12673,0.4455,0.7204,7171
12,4,l1,0.10,0.75,0.7,9962,0.4436,0.6934,5637
12,4,l1,0.30,0.25,off,23979,0.4570,0.8846,13158
12,4,l1,0.30,0.25,0.9,21028,0.4544,0.8762,11522
12,4,l1,0.30,0.25,0.7,16381,0.4447,0.8527,9015
12,4,l1,0.30,0.40,off,19184,0.4683,0.8346,10612
12,4,l1,0.30,0.40,0.9,17107,0.4663,0.8266,9438
12,4,l1,0.30,0.40,0.7,13622,0.4590,0.8037,7531
12,4,l1,0.30,0.55,off,14388,0.4698,0.7719,7986
12,4,l1,0.30,0.55,0.9,13044,0.4683,0.7650,7221
12,4,l1,0.30,0.55,0.7,10659,0.4629,0.7397,5909
12,4,l1,0.30,0.65,off,11191,0.4702,0.7198,6203
12,4,l1,0.30,0.65,0.9,10260,0.4678,0.7131,5676
12,4,l1,0.30,0.65,0.7,8563,0.4621,0.6866,4748
12,4,l1,0.30,0.75,off,7993,0.4712,0.6500,4412
12,4,l1,0.30,0.75,0.9,7424,0.4701,0.6438,4084
12,4,l1,0.30,0.75,0.7,6404,0.4659,0.6223,3538
12,4,l1,0.50,0.25,off,15342,0.4943,0.8070,8380
12,4,l1,0.50,0.25,0.9,13898,0.4912,0.7983,7562
12,4,l1,0.50,0.25,0.7,11449,0.4825,0.7767,6248
12,4,l1,0.50,0.40,off,12273,0.4979,0.7499,6752
12,4,l1,0.50,0.40,0.9,11256,0.4950,0.7400,6171
12,4,l1,0.50,0.40,0.7,9451,0.4871,0.7203,5185
12,4,l1,0.50,0.55,off,9205,0.4944,0.6788,5090
12,4,l1,0.50,0.55,0.9,8557,0.4928,0.6701,4712
12,4,l1,0.50,0.55,0.7,7308,0.4879,0.6512,4031
