tag,nsel,prec,rec,nvis,extra
creaseonly cr<1.0/q0.4,16400,0.4366,0.8346,9155,
corneronly/q0.4,3851,0.4531,0.4537,2204,
creaseonly cr<0.3/q0.55,11559,0.4430,0.7559,6505,
creaseonly cr<0.5/q0.55,12860,0.4487,0.7713,7261,
creaseonly cr<0.7/q0.55,13332,0.4499,0.7767,7535,
creaseonly cr<1.0/q0.55,13625,0.4499,0.7787,7696,
corneronly/q0.55,2020,0.4375,0.3018,1158,
l1/q0.4,16382,0.4452,0.8274,9171,
l1/q0.55,13332,0.4533,0.7679,7553,
l1/q0.65,11051,0.4519,0.7070,6279,
l1/q0.75,8584,0.4557,0.6413,4880,
